	Condition	N° variables	Time	Status
0	PrimaryTumor_StageIIIA_1	14274	206.68254160881042	Solve_Succeeded
1	PrimaryTumor_StageIIIA_2	14274	232.66768074035645	Solve_Succeeded
2	PrimaryTumor_StageIA_3	14274	225.845538854599	Solve_Succeeded
3	PrimaryTumor_StageI_4	14274	221.6332128047943	Solve_Succeeded
4	PrimaryTumor_StageIIB_5	14274	251.7217297554016	Solve_Succeeded
5	PrimaryTumor_StageIV_6	14274	241.7417311668396	Solve_Succeeded
6	PrimaryTumor_StageIIB_7	14274	232.5950412750244	Solve_Succeeded
7	PrimaryTumor_StageIIA_8	14274	232.98594403266907	Solve_Succeeded
8	Metastatic_StageIIIC_9	14274	226.80752539634705	Solve_Succeeded
9	PrimaryTumor_StageIIB_10	14274	226.4266438484192	Solve_Succeeded
10	PrimaryTumor_StageIIIC_11	14274	224.2901840209961	Solve_Succeeded
11	PrimaryTumor_StageIIIB_12	14274	229.80256915092468	Solve_Succeeded
12	PrimaryTumor_StageIB_13	14274	225.1840217113495	Solve_Succeeded
13	PrimaryTumor_StageIIB_14	14274	261.6341223716736	Maximum_Iterations_Exceeded
14	PrimaryTumor_StageIIA_15	14274	224.11861753463745	Solve_Succeeded
15	PrimaryTumor_StageIIB_16	14274	250.46890592575073	Solve_Succeeded
16	PrimaryTumor_StageIIA_17	14274	230.19419527053833	Solve_Succeeded
17	PrimaryTumor_StageIIA_18	14274	227.7357692718506	Solve_Succeeded
18	PrimaryTumor_StageIIIB_19	14274	223.3515911102295	Solve_Succeeded
19	PrimaryTumor_StageX_20	14274	228.20875573158264	Solve_Succeeded
20	PrimaryTumor_StageIIIA_21	14274	240.7898964881897	Solve_Succeeded
21	PrimaryTumor_StageIIA_22	14274	259.35126852989197	Solved_To_Acceptable_Level
22	PrimaryTumor_StageIA_23	14274	244.77972626686096	Solve_Succeeded
23	PrimaryTumor_StageIIA_24	14274	242.06152510643005	Solve_Succeeded
24	PrimaryTumor_StageI_25	14274	250.39620447158813	Solve_Succeeded
25	PrimaryTumor_StageIIIA_26	14274	233.3863673210144	Solve_Succeeded
