	Condition	N° variables	Time	Status
0	PrimaryTumor_StageIIA_1	14321	209.29199171066284	Solve_Succeeded
1	PrimaryTumor_StageIA_2	14321	193.23842930793762	Solve_Succeeded
2	PrimaryTumor_StageIB_3	14321	209.35174012184143	Solve_Succeeded
3	PrimaryTumor_StageIB_4	14321	222.19456028938293	Solve_Succeeded
4	PrimaryTumor_StageIB_5	14321	199.23082041740417	Solve_Succeeded
5	SolidTissueNormal_StageIB_6	14321	203.94139647483826	Solve_Succeeded
6	PrimaryTumor_StageIA_7	14321	199.48993039131165	Solve_Succeeded
7	PrimaryTumor_StageIB_8	14321	214.32120776176453	Solve_Succeeded
8	PrimaryTumor_StageIA_9	14321	218.6185805797577	Solve_Succeeded
9	PrimaryTumor_StageIIB_10	14321	212.95340061187744	Solved_To_Acceptable_Level
10	PrimaryTumor_StageIIB_11	14321	228.17057704925537	Solved_To_Acceptable_Level
11	PrimaryTumor_StageIIIB_12	14321	201.60418319702148	Solve_Succeeded
12	SolidTissueNormal_StageIB_13	14321	217.63919186592102	Solve_Succeeded
13	PrimaryTumor_StageIIB_14	14321	228.59136986732483	Solve_Succeeded
14	PrimaryTumor_StageIIB_15	14321	191.24002528190613	Solve_Succeeded
15	PrimaryTumor_StageIA_16	14321	209.38838529586792	Solved_To_Acceptable_Level
16	PrimaryTumor_StageIB_17	14321	215.6727147102356	Solve_Succeeded
17	PrimaryTumor_StageIIIA_18	14321	201.44915413856506	Solve_Succeeded
18	PrimaryTumor_StageIB_19	14321	219.42054319381714	Solve_Succeeded
19	PrimaryTumor_StageIIB_20	14321	235.66347193717957	Solved_To_Acceptable_Level
20	PrimaryTumor_StageIB_21	14321	211.9742934703827	Solve_Succeeded
21	PrimaryTumor_StageIIB_22	14321	224.0754771232605	Solve_Succeeded
22	SolidTissueNormal_StageIIIA_23	14321	212.53123569488525	Solve_Succeeded
23	PrimaryTumor_StageIIB_24	14321	229.33223628997803	Solve_Succeeded
24	PrimaryTumor_StageIIA_25	14321	217.93871092796326	Solve_Succeeded
25	PrimaryTumor_StageIB_26	14321	208.44748759269714	Solve_Succeeded
26	PrimaryTumor_StageIIB_27	14321	192.12257885932922	Solve_Succeeded
27	PrimaryTumor_StageIIB_28	14321	244.82324862480164	Maximum_Iterations_Exceeded
28	PrimaryTumor_StageIIA_29	14321	245.63894152641296	Solve_Succeeded
29	SolidTissueNormal_StageIA_30	14321	212.0745508670807	Solve_Succeeded
30	PrimaryTumor_StageIB_31	14321	220.2755320072174	Solve_Succeeded
31	PrimaryTumor_StageIA_32	14321	211.46226525306702	Solve_Succeeded
32	PrimaryTumor_StageIA_33	14321	227.61143398284912	Solve_Succeeded
33	PrimaryTumor_StageIIIA_34	14321	199.9087119102478	Solve_Succeeded
34	PrimaryTumor_StageIIB_35	14321	219.9261393547058	Solve_Succeeded
35	PrimaryTumor_StageIA_36	14321	218.82890129089355	Solve_Succeeded
36	PrimaryTumor_StageIB_37	14321	199.43053603172302	Solve_Succeeded
37	PrimaryTumor_StageIIIA_38	14321	204.9127917289734	Solve_Succeeded
38	PrimaryTumor_StageIA_39	14321	200.72717666625977	Solve_Succeeded
39	SolidTissueNormal_StageIIB_40	14321	216.90524220466614	Solve_Succeeded
40	PrimaryTumor_StageIB_41	14321	200.30104660987854	Solve_Succeeded
41	PrimaryTumor_StageIB_42	14321	205.63367319107056	Solve_Succeeded
42	PrimaryTumor_StageIA_43	14321	230.6590919494629	Solve_Succeeded
43	PrimaryTumor_StageIIA_44	14321	208.64581727981567	Solve_Succeeded
44	PrimaryTumor_StageIA_45	14321	212.12333297729492	Solve_Succeeded
45	PrimaryTumor_StageIA_46	14321	226.54078316688538	Solve_Succeeded
46	PrimaryTumor_StageIIIA_47	14321	198.87444376945496	Solve_Succeeded
47	PrimaryTumor_StageIIA_48	14321	225.82105112075806	Solve_Succeeded
48	SolidTissueNormal_StageIA_49	14321	200.2409508228302	Solve_Succeeded
49	SolidTissueNormal_StageIIA_50	14321	237.5798511505127	Solved_To_Acceptable_Level
50	PrimaryTumor_StageIB_51	14321	217.6690673828125	Solve_Succeeded
51	PrimaryTumor_StageIB_52	14321	237.93323373794556	Solve_Succeeded
52	PrimaryTumor_StageIB_53	14321	214.1842381954193	Solve_Succeeded
53	PrimaryTumor_StageIB_54	14321	201.47670936584473	Solve_Succeeded
54	PrimaryTumor_StageIB_55	14321	206.33879685401917	Solve_Succeeded
55	SolidTissueNormal_StageIIIA_56	14321	218.6659164428711	Solve_Succeeded
56	PrimaryTumor_StageIB_57	14321	213.87279629707336	Solve_Succeeded
57	PrimaryTumor_StageIIIA_58	14321	227.4808385372162	Solve_Succeeded
58	PrimaryTumor_StageIB_59	14321	206.6675636768341	Solve_Succeeded
59	PrimaryTumor_StageII_60	14321	202.65449905395508	Solve_Succeeded
60	PrimaryTumor_StageIA_61	14321	213.0418004989624	Solve_Succeeded
61	PrimaryTumor_StageIIB_62	14321	212.28372311592102	Solve_Succeeded
62	PrimaryTumor_StageIV_63	14321	213.65415716171265	Solve_Succeeded
63	PrimaryTumor_StageIA_64	14321	209.23635292053223	Solve_Succeeded
64	PrimaryTumor_StageIIA_65	14321	216.98970246315002	Solve_Succeeded
65	PrimaryTumor_StageIA_66	14321	217.420254945755	Solve_Succeeded
66	PrimaryTumor_StageIIA_67	14321	255.43548941612244	Maximum_Iterations_Exceeded
67	PrimaryTumor_StageIV_68	14321	219.0871787071228	Solve_Succeeded
68	PrimaryTumor_StageIIIA_69	14321	212.92814993858337	Solve_Succeeded
69	PrimaryTumor_StageIB_70	14321	210.00165033340454	Solve_Succeeded
70	PrimaryTumor_StageIA_71	14321	213.07767534255981	Solve_Succeeded
71	PrimaryTumor_StageIIB_72	14321	232.16431307792664	Solve_Succeeded
72	PrimaryTumor_StageIA_73	14321	208.9276864528656	Solve_Succeeded
73	PrimaryTumor_StageIIIA_74	14321	241.42722725868225	Solve_Succeeded
74	PrimaryTumor_StageIB_75	14321	227.7790448665619	Solve_Succeeded
75	PrimaryTumor_StageIIIA_76	14321	215.19257998466492	Solve_Succeeded
76	PrimaryTumor_StageIB_77	14321	210.88417863845825	Solve_Succeeded
77	PrimaryTumor_StageIIIA_78	14321	233.68278789520264	Solve_Succeeded
78	PrimaryTumor_StageIIA_79	14321	232.87420558929443	Solved_To_Acceptable_Level
79	PrimaryTumor_StageIIIA_80	14321	216.89291310310364	Solve_Succeeded
80	PrimaryTumor_StageIB_81	14321	222.53081893920898	Solve_Succeeded
81	PrimaryTumor_StageIA_82	14321	241.1532883644104	Solved_To_Acceptable_Level
82	PrimaryTumor_StageIIB_83	14321	223.44808530807495	Solve_Succeeded
83	PrimaryTumor_StageIIB_84	14321	216.77320218086243	Solve_Succeeded
84	PrimaryTumor_StageIIIA_85	14321	205.38271975517273	Solve_Succeeded
85	PrimaryTumor_StageIB_86	14321	216.96724438667297	Solve_Succeeded
86	PrimaryTumor_StageIA_87	14321	228.2772343158722	Solve_Succeeded
87	PrimaryTumor_StageIIIA_88	14321	231.11256790161133	Solve_Succeeded
88	PrimaryTumor_StageIA_89	14321	214.21021056175232	Solve_Succeeded
89	PrimaryTumor_StageIB_90	14321	218.1261339187622	Solve_Succeeded
90	PrimaryTumor_StageIIA_91	14321	206.0199043750763	Solve_Succeeded
91	PrimaryTumor_StageIIB_92	14321	218.0162491798401	Solve_Succeeded
92	PrimaryTumor_StageIB_93	14321	216.97124671936035	Solve_Succeeded
93	PrimaryTumor_StageIA_94	14321	219.88553881645203	Solve_Succeeded
94	PrimaryTumor_StageIA_95	14321	212.9791328907013	Solve_Succeeded
95	PrimaryTumor_StageIA_96	14321	218.95257472991943	Solve_Succeeded
96	PrimaryTumor_StageIIB_97	14321	236.74684762954712	Solve_Succeeded
97	PrimaryTumor_StageIA_98	14321	231.8771436214447	Solve_Succeeded
98	PrimaryTumor_StageIA_99	14321	209.82976365089417	Solve_Succeeded
99	PrimaryTumor_StageIB_100	14321	230.5748269557953	Solve_Succeeded
100	PrimaryTumor_StageIIIA_101	14321	207.2549684047699	Solve_Succeeded
101	PrimaryTumor_StageIA_102	14321	243.6400647163391	Solved_To_Acceptable_Level
102	PrimaryTumor_StageI_103	14321	221.79077649116516	Solve_Succeeded
103	PrimaryTumor_StageIIIA_104	14321	214.62289834022522	Solve_Succeeded
104	PrimaryTumor_StageIA_105	14321	223.81701683998108	Solve_Succeeded
105	SolidTissueNormal_StageIIB_106	14321	232.5492467880249	Solve_Succeeded
106	SolidTissueNormal_StageIIA_107	14321	220.33063530921936	Solve_Succeeded
107	PrimaryTumor_StageIA_108	14321	226.05429601669312	Solve_Succeeded
108	PrimaryTumor_StageIB_109	14321	228.09871435165405	Solve_Succeeded
