	Condition	N° variables	Time	Status
79	PrimaryTumor_StageIIIA_80	14274	255.75141835212708	Solved_To_Acceptable_Level
80	PrimaryTumor_StageIB_81	14274	233.27402877807617	Solve_Succeeded
81	PrimaryTumor_StageIA_82	14274	231.23371028900146	Solve_Succeeded
82	PrimaryTumor_StageIIB_83	14274	221.38655281066895	Solve_Succeeded
83	PrimaryTumor_StageIIB_84	14274	243.6457540988922	Solved_To_Acceptable_Level
84	PrimaryTumor_StageIIIA_85	14274	225.9364013671875	Solve_Succeeded
85	PrimaryTumor_StageIB_86	14274	226.9666039943695	Solve_Succeeded
86	PrimaryTumor_StageIA_87	14274	201.0463662147522	Solve_Succeeded
87	PrimaryTumor_StageIIIA_88	14274	248.41323924064636	Solve_Succeeded
88	PrimaryTumor_StageIA_89	14274	220.72353553771973	Solve_Succeeded
89	PrimaryTumor_StageIB_90	14274	223.81358885765076	Solve_Succeeded
90	PrimaryTumor_StageIIA_91	14274	215.41913986206055	Solve_Succeeded
91	PrimaryTumor_StageIIB_92	14274	229.74375343322754	Solve_Succeeded
92	PrimaryTumor_StageIB_93	14274	232.98885488510132	Solve_Succeeded
93	PrimaryTumor_StageIA_94	14274	244.4934687614441	Solve_Succeeded
94	PrimaryTumor_StageIA_95	14274	226.02529644966125	Solve_Succeeded
95	PrimaryTumor_StageIA_96	14274	235.89133977890015	Solve_Succeeded
96	PrimaryTumor_StageIIB_97	14274	227.67732286453247	Solve_Succeeded
97	PrimaryTumor_StageIA_98	14274	226.3141176700592	Solve_Succeeded
98	PrimaryTumor_StageIA_99	14274	223.91515612602234	Solve_Succeeded
99	PrimaryTumor_StageIB_100	14274	216.09097599983215	Solve_Succeeded
100	PrimaryTumor_StageIIIA_101	14274	233.33492183685303	Solve_Succeeded
101	PrimaryTumor_StageIA_102	14274	217.8805730342865	Solve_Succeeded
102	PrimaryTumor_StageI_103	14274	224.10578727722168	Solve_Succeeded
103	PrimaryTumor_StageIIIA_104	14274	216.944265127182	Solve_Succeeded
104	PrimaryTumor_StageIA_105	14274	229.08222913742065	Solve_Succeeded
105	SolidTissueNormal_StageIIB_106	14274	230.0317940711975	Solve_Succeeded
106	SolidTissueNormal_StageIIA_107	14274	228.1714162826538	Solve_Succeeded
107	PrimaryTumor_StageIA_108	14274	231.19186091423035	Solve_Succeeded
108	PrimaryTumor_StageIB_109	14274	248.56906962394714	Solve_Succeeded
109	PrimaryTumor_StageIIB_110	14274	247.72386646270752	Solve_Succeeded
110	PrimaryTumor_StageIA_111	14274	227.741628408432	Solve_Succeeded
111	PrimaryTumor_StageIA_112	14274	229.06104350090027	Solve_Succeeded
112	PrimaryTumor_StageIIA_113	14274	220.7900938987732	Solve_Succeeded
113	PrimaryTumor_StageIA_114	14274	215.80340552330017	Solve_Succeeded
114	PrimaryTumor_StageIIB_115	14274	235.20748805999756	Solve_Succeeded
115	PrimaryTumor_StageIA_116	14274	236.10761737823486	Solve_Succeeded
116	PrimaryTumor_StageIIA_117	14274	223.08955669403076	Solve_Succeeded
117	PrimaryTumor_StageIIIA_118	14274	223.32716274261475	Solve_Succeeded
118	PrimaryTumor_StageIIB_119	14274	220.68917870521545	Solve_Succeeded
119	PrimaryTumor_StageIB_120	14274	228.01329445838928	Solve_Succeeded
120	PrimaryTumor_StageIIB_121	14274	209.37276577949524	Solve_Succeeded
121	PrimaryTumor_StageIB_122	14274	216.78360223770142	Solve_Succeeded
122	PrimaryTumor_StageIA_123	14274	224.4620430469513	Solve_Succeeded
123	PrimaryTumor_StageIA_124	14274	223.05553221702576	Solve_Succeeded
124	PrimaryTumor_StageIB_125	14274	223.22745561599731	Solve_Succeeded
125	PrimaryTumor_StageIB_126	14274	245.62474632263184	Solve_Succeeded
126	PrimaryTumor_StageIB_127	14274	222.5459475517273	Solve_Succeeded
127	PrimaryTumor_StageIIA_128	14274	229.89738988876343	Solve_Succeeded
128	PrimaryTumor_StageIIA_129	14274	226.8234326839447	Solve_Succeeded
129	PrimaryTumor_StageIB_130	14274	230.97896552085876	Solve_Succeeded
130	PrimaryTumor_StageIB_131	14274	230.0357677936554	Solve_Succeeded
131	PrimaryTumor_StageIA_132	14274	227.22082710266113	Solve_Succeeded
132	PrimaryTumor_StageIA_133	14274	228.34949779510498	Solve_Succeeded
133	PrimaryTumor_StageIIA_134	14274	221.9173583984375	Solve_Succeeded
134	PrimaryTumor_StageIIB_135	14274	239.9387662410736	Solve_Succeeded
135	PrimaryTumor_StageIB_136	14274	232.3622283935547	Solve_Succeeded
136	PrimaryTumor_StageIIIA_137	14274	248.11407566070557	Solve_Succeeded
137	PrimaryTumor_StageIA_138	14274	220.6745891571045	Solve_Succeeded
138	PrimaryTumor_StageIA_139	14274	237.28674983978271	Solve_Succeeded
139	SolidTissueNormal_StageIIB_140	14274	226.72335052490234	Solve_Succeeded
140	PrimaryTumor_StageIB_141	14274	229.42632722854614	Solve_Succeeded
141	PrimaryTumor_StageIA_142	14274	228.6989622116089	Solve_Succeeded
142	PrimaryTumor_StageIV_143	14274	223.3384232521057	Solve_Succeeded
143	PrimaryTumor_StageIIIA_144	14274	225.4720423221588	Solve_Succeeded
144	PrimaryTumor_StageIB_145	14274	268.36477422714233	Solve_Succeeded
145	PrimaryTumor_StageIB_146	14274	229.67751550674438	Solve_Succeeded
146	PrimaryTumor_StageIB_147	14274	223.9301998615265	Solve_Succeeded
147	PrimaryTumor_StageIIA_148	14274	224.62853336334229	Solve_Succeeded
148	PrimaryTumor_StageIIB_149	14274	223.99880027770996	Solve_Succeeded
149	PrimaryTumor_StageIIIB_150	14274	239.1469762325287	Solve_Succeeded
150	PrimaryTumor_StageIB_151	14274	233.37022948265076	Solve_Succeeded
151	PrimaryTumor_StageIIB_152	14274	232.67505979537964	Solve_Succeeded
152	PrimaryTumor_StageIIA_153	14274	241.21452236175537	Solve_Succeeded
153	PrimaryTumor_StageIB_154	14274	220.13720631599426	Solve_Succeeded
154	PrimaryTumor_StageIB_155	14274	218.212336063385	Solve_Succeeded
155	PrimaryTumor_StageIB_156	14274	225.87113761901855	Solve_Succeeded
156	PrimaryTumor_StageII_157	14274	244.6558780670166	Solve_Succeeded
157	PrimaryTumor_StageIA_158	14274	230.35582542419434	Solve_Succeeded
158	PrimaryTumor_StageIA_159	14274	245.6170949935913	Solve_Succeeded
159	PrimaryTumor_StageIIIA_160	14274	269.6928777694702	Maximum_Iterations_Exceeded
160	PrimaryTumor_StageIIA_161	14274	229.98404932022095	Solve_Succeeded
161	PrimaryTumor_StageNA_162	14274	234.27484703063965	Solve_Succeeded
162	SolidTissueNormal_StageIA_163	14274	243.88047981262207	Solve_Succeeded
163	PrimaryTumor_StageIIA_164	14274	228.57648730278015	Solve_Succeeded
164	SolidTissueNormal_StageIIB_165	14274	228.7053201198578	Solve_Succeeded
165	PrimaryTumor_StageIIIA_166	14274	232.2927384376526	Solve_Succeeded
166	PrimaryTumor_StageIB_167	14274	245.14359426498413	Solve_Succeeded
167	SolidTissueNormal_StageIB_168	14274	224.424546957016	Solve_Succeeded
168	PrimaryTumor_StageIB_169	14274	226.4563810825348	Solve_Succeeded
169	PrimaryTumor_StageIIIA_170	14274	225.68151187896729	Solve_Succeeded
170	PrimaryTumor_StageIIB_171	14274	229.11723041534424	Solve_Succeeded
171	PrimaryTumor_StageIIIB_172	14274	232.7965488433838	Solve_Succeeded
172	PrimaryTumor_StageIA_173	14274	252.01488161087036	Solve_Succeeded
173	SolidTissueNormal_StageIIB_174	14274	222.5543429851532	Solve_Succeeded
174	PrimaryTumor_StageNA_175	14274	242.91112184524536	Solve_Succeeded
175	PrimaryTumor_StageIB_176	14274	236.94565320014954	Solve_Succeeded
176	PrimaryTumor_StageIA_177	14274	231.27495455741882	Solve_Succeeded
177	SolidTissueNormal_StageIIB_178	14274	226.25728726387024	Solve_Succeeded
178	PrimaryTumor_StageIA_179	14274	231.5834469795227	Solve_Succeeded
179	PrimaryTumor_StageIA_180	14274	231.29478693008423	Solve_Succeeded
180	PrimaryTumor_StageIB_181	14274	239.27773070335388	Solve_Succeeded
181	PrimaryTumor_StageIA_182	14274	231.62956380844116	Solve_Succeeded
182	SolidTissueNormal_StageIB_183	14274	244.95036005973816	Solve_Succeeded
183	SolidTissueNormal_StageIB_184	14274	258.40860056877136	Solve_Succeeded
184	PrimaryTumor_StageIIIA_185	14274	234.7738606929779	Solve_Succeeded
185	SolidTissueNormal_StageIIIA_186	14274	268.45027780532837	Maximum_Iterations_Exceeded
186	PrimaryTumor_StageIV_187	14274	234.5348858833313	Solve_Succeeded
187	PrimaryTumor_StageIB_188	14274	252.0522744655609	Solve_Succeeded
188	PrimaryTumor_StageIA_189	14274	231.44075202941895	Solve_Succeeded
189	PrimaryTumor_StageIIIA_190	14274	236.69869828224182	Solve_Succeeded
190	PrimaryTumor_StageIIIA_191	14274	226.67662477493286	Solve_Succeeded
191	PrimaryTumor_StageIIA_192	14274	227.2690908908844	Solve_Succeeded
192	PrimaryTumor_StageIIB_193	14274	227.37893509864807	Solve_Succeeded
193	PrimaryTumor_StageIB_194	14274	230.8519184589386	Solve_Succeeded
194	PrimaryTumor_StageIB_195	14274	227.3031861782074	Solve_Succeeded
195	PrimaryTumor_StageIIB_196	14274	233.29680943489075	Solve_Succeeded
196	PrimaryTumor_StageIIB_197	14274	235.56377387046814	Solve_Succeeded
197	SolidTissueNormal_StageIA_198	14274	263.1395845413208	Solve_Succeeded
198	PrimaryTumor_StageIIA_199	14274	260.81339621543884	Solve_Succeeded
199	PrimaryTumor_StageIIA_200	14274	253.3462154865265	Solve_Succeeded
200	PrimaryTumor_StageIIIA_201	14274	226.88255667686462	Solve_Succeeded
201	PrimaryTumor_StageIIA_202	14274	228.26033425331116	Solve_Succeeded
202	PrimaryTumor_StageIII_203	14274	240.46115231513977	Solve_Succeeded
203	PrimaryTumor_StageIIA_204	14274	239.19776248931885	Solve_Succeeded
204	PrimaryTumor_StageIIA_205	14274	232.05774593353271	Solve_Succeeded
205	PrimaryTumor_StageIB_206	14274	233.24164128303528	Solve_Succeeded
206	SolidTissueNormal_StageIA_207	14274	217.9377462863922	Solve_Succeeded
207	PrimaryTumor_StageIA_208	14274	231.4495391845703	Solve_Succeeded
208	PrimaryTumor_StageIIIA_209	14274	234.0510356426239	Solve_Succeeded
209	PrimaryTumor_StageIIIA_210	14274	237.2980031967163	Solve_Succeeded
210	SolidTissueNormal_StageIB_211	14274	229.78570222854614	Solve_Succeeded
211	PrimaryTumor_StageIIA_212	14274	232.49132180213928	Solve_Succeeded
212	PrimaryTumor_StageIIB_213	14274	228.71178770065308	Solve_Succeeded
213	PrimaryTumor_StageIA_214	14274	226.80095434188843	Solve_Succeeded
214	PrimaryTumor_StageIB_215	14274	262.660272359848	Solved_To_Acceptable_Level
215	PrimaryTumor_StageIV_216	14274	230.6845202445984	Solve_Succeeded
216	PrimaryTumor_StageIA_217	14274	225.4189624786377	Solve_Succeeded
217	PrimaryTumor_StageIB_218	14274	257.3663308620453	Solved_To_Acceptable_Level
218	PrimaryTumor_StageIB_219	14274	255.43374824523926	Solve_Succeeded
219	PrimaryTumor_StageIA_220	14274	232.26856136322021	Solve_Succeeded
220	PrimaryTumor_StageIB_221	14274	231.72705912590027	Solve_Succeeded
221	PrimaryTumor_StageIA_222	14274	242.3761796951294	Solve_Succeeded
222	PrimaryTumor_StageIV_223	14274	266.2126908302307	Solved_To_Acceptable_Level
223	PrimaryTumor_StageIA_224	14274	228.84123182296753	Solve_Succeeded
224	PrimaryTumor_StageIA_225	14274	231.2362461090088	Solve_Succeeded
225	PrimaryTumor_StageIIA_226	14274	238.6177635192871	Solve_Succeeded
226	PrimaryTumor_StageIA_227	14274	235.69218277931213	Solve_Succeeded
227	PrimaryTumor_StageIA_228	14274	255.31271362304688	Solve_Succeeded
228	PrimaryTumor_StageIIIA_229	14274	249.40683770179749	Solve_Succeeded
229	PrimaryTumor_StageIB_230	14274	235.8898994922638	Solve_Succeeded
230	SolidTissueNormal_StageIB_231	14274	227.57055401802063	Solve_Succeeded
231	PrimaryTumor_StageIIB_232	14274	235.98876786231995	Solve_Succeeded
232	PrimaryTumor_StageIB_233	14274	238.82100772857666	Solve_Succeeded
233	PrimaryTumor_StageIIIA_234	14274	262.64389061927795	Solve_Succeeded
234	SolidTissueNormal_StageIA_235	14274	252.3924744129181	Solve_Succeeded
235	PrimaryTumor_StageIB_236	14274	242.9993577003479	Solve_Succeeded
236	PrimaryTumor_StageIA_237	14274	237.45676445960999	Solve_Succeeded
237	PrimaryTumor_StageIA_238	14274	229.99862360954285	Solve_Succeeded
238	SolidTissueNormal_StageIIB_239	14274	233.215802192688	Solve_Succeeded
239	PrimaryTumor_StageIB_240	14274	231.76716876029968	Solve_Succeeded
240	PrimaryTumor_StageIB_241	14274	254.63272500038147	Solve_Succeeded
241	PrimaryTumor_StageIB_242	14274	234.9323399066925	Solve_Succeeded
242	PrimaryTumor_StageIA_243	14274	230.41028785705566	Solve_Succeeded
243	PrimaryTumor_StageIIIA_244	14274	236.29791378974915	Solve_Succeeded
244	SolidTissueNormal_StageIIIA_245	14274	240.76432347297668	Solve_Succeeded
245	PrimaryTumor_StageIB_246	14274	240.4178295135498	Solve_Succeeded
246	PrimaryTumor_StageIB_247	14274	234.98147439956665	Solve_Succeeded
247	PrimaryTumor_StageIIIA_248	14274	243.26610350608826	Solve_Succeeded
248	PrimaryTumor_StageIIIA_249	14274	227.34949135780334	Solve_Succeeded
249	PrimaryTumor_StageIIA_250	14274	259.7025763988495	Solve_Succeeded
250	PrimaryTumor_StageIB_251	14274	242.42830109596252	Solve_Succeeded
251	SolidTissueNormal_StageIIA_252	14274	235.11277318000793	Solve_Succeeded
252	PrimaryTumor_StageIA_253	14274	251.87167525291443	Solve_Succeeded
253	PrimaryTumor_StageIA_254	14274	243.78972816467285	Solve_Succeeded
254	PrimaryTumor_StageIA_255	14274	237.07828283309937	Solve_Succeeded
255	PrimaryTumor_StageIA_256	14274	236.7282292842865	Solve_Succeeded
256	PrimaryTumor_StageIV_257	14274	242.50726103782654	Solve_Succeeded
257	PrimaryTumor_StageIIB_258	14274	231.65170693397522	Solve_Succeeded
258	PrimaryTumor_StageIIIA_259	14274	246.28105783462524	Solve_Succeeded
259	PrimaryTumor_StageIIB_260	14274	237.78805446624756	Solve_Succeeded
260	PrimaryTumor_StageIB_261	14274	257.28645420074463	Solve_Succeeded
261	PrimaryTumor_StageIB_262	14274	238.28969430923462	Solve_Succeeded
262	PrimaryTumor_StageIB_263	14274	234.90077757835388	Solve_Succeeded
