Reaction	Acetate	Fructose	Galactose	Gluconate	Glucose	Glycerol	Pyruvate	Succinate
R_EX_glyc__R_e	1.4235581148509776e-05	1.4235581148509776e-05	1.4235581148509776e-05	1.4235581148509776e-05	1.4235581148509776e-05	1.4235581148509776e-05	1.4235581148509776e-05	1.4235581148509776e-05
R_EX_glyc2p_e	7.66172251841701e-06	7.66172251841701e-06	7.66172251841701e-06	7.66172251841701e-06	7.66172251841701e-06	7.66172251841701e-06	7.66172251841701e-06	7.66172251841701e-06
R_EX_23camp_e	2.75798043606894e-05	2.75798043606894e-05	2.75798043606894e-05	2.75798043606894e-05	2.75798043606894e-05	2.75798043606894e-05	2.75798043606894e-05	2.75798043606894e-05
R_EX_23ccmp_e	-2.757980435960086e-05	-2.757980435960086e-05	-2.757980435960086e-05	-2.757980435960086e-05	-2.757980435960086e-05	-2.757980435960086e-05	-2.757980435960086e-05	-2.757980435960086e-05
R_EX_23cgmp_e	0.2179090843207069	0.2179090843207069	0.2179090843207069	0.2179090843207069	0.2179090843207069	0.2179090843207069	0.2179090843207069	0.2179090843207069
R_EX_23cump_e	-0.2179090843207078	-0.2179090843207078	-0.2179090843207078	-0.2179090843207078	-0.2179090843207078	-0.2179090843207078	-0.2179090843207078	-0.2179090843207078
R_EX_23dappa_e	2.1078868389020679e-10	2.1078868389020679e-10	2.1078868389020679e-10	2.1078868389020679e-10	2.1078868389020679e-10	2.1078868389020679e-10	2.1078868389020679e-10	2.1078868389020679e-10
R_EX_26dap__M_e	2.1084094821602018e-10	2.1084094821602018e-10	2.1084094821602018e-10	2.1084094821602018e-10	2.1084094821602018e-10	2.1084094821602018e-10	2.1084094821602018e-10	2.1084094821602018e-10
R_EX_glyc3p_e	3.92586103254568e-06	3.92586103254568e-06	3.92586103254568e-06	3.92586103254568e-06	3.92586103254568e-06	3.92586103254568e-06	3.92586103254568e-06	3.92586103254568e-06
R_EX_glyclt_e	3.9258610325482015e-06	3.9258610325482015e-06	3.9258610325482015e-06	3.9258610325482015e-06	3.9258610325482015e-06	3.9258610325482015e-06	3.9258610325482015e-06	3.9258610325482015e-06
R_EX_gmp_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_gsn_e	1.436504267544286e-05	1.436504267544286e-05	1.436504267544286e-05	1.436504267544286e-05	1.436504267544286e-05	1.436504267544286e-05	1.436504267544286e-05	1.436504267544286e-05
R_EX_gthox_e	1.436504267544346e-05	1.436504267544346e-05	1.436504267544346e-05	1.436504267544346e-05	1.436504267544346e-05	1.436504267544346e-05	1.436504267544346e-05	1.436504267544346e-05
R_EX_gthrd_e	1.1225789738766583e-05	1.1225789738766583e-05	1.1225789738766583e-05	1.1225789738766583e-05	1.1225789738766583e-05	1.1225789738766583e-05	1.1225789738766583e-05	1.1225789738766583e-05
R_EX_gtp_e	7.03043057341285e-06	7.03043057341285e-06	7.03043057341285e-06	7.03043057341285e-06	7.03043057341285e-06	7.03043057341285e-06	7.03043057341285e-06	7.03043057341285e-06
R_EX_gua_e	4.195359165357997e-06	4.195359165357997e-06	4.195359165357997e-06	4.195359165357997e-06	4.195359165357997e-06	4.195359165357997e-06	4.195359165357997e-06	4.195359165357997e-06
R_EX_h_e	0.0015557349519454	0.0015557349519454	0.0015557349519454	0.0015557349519454	0.0015557349519454	0.0015557349519454	0.0015557349519454	0.0015557349519454
R_EX_h2_e	0.0009188760142805	0.0009188760142805	0.0009188760142805	0.0009188760142805	0.0009188760142805	0.0009188760142805	0.0009188760142805	0.0009188760142805
R_EX_h2o_e	0.0006368589376648	0.0006368589376648	0.0006368589376648	0.0006368589376648	0.0006368589376648	0.0006368589376648	0.0006368589376648	0.0006368589376648
R_EX_h2o2_e	0.0013211448565423	0.0013211448565423	0.0013211448565423	0.0013211448565423	0.0013211448565423	0.0013211448565423	0.0013211448565423	0.0013211448565423
R_EX_h2s_e	0.0007997739282744	0.0007997739282744	0.0007997739282744	0.0007997739282744	0.0007997739282744	0.0007997739282744	0.0007997739282744	0.0007997739282744
R_EX_hacolipa_e	0.0005213709282679	0.0005213709282679	0.0005213709282679	0.0005213709282679	0.0005213709282679	0.0005213709282679	0.0005213709282679	0.0005213709282679
R_EX_halipa_e	1.183356916876425e-05	1.183356916876425e-05	1.183356916876425e-05	1.183356916876425e-05	1.183356916876425e-05	1.183356916876425e-05	1.183356916876425e-05	1.183356916876425e-05
R_EX_hdca_e	7.395524165677646e-06	7.395524165677646e-06	7.395524165677646e-06	7.395524165677646e-06	7.395524165677646e-06	7.395524165677646e-06	7.395524165677646e-06	7.395524165677646e-06
R_EX_hdcea_e	4.438045003085982e-06	4.438045003085982e-06	4.438045003085982e-06	4.438045003085982e-06	4.438045003085982e-06	4.438045003085982e-06	4.438045003085982e-06	4.438045003085982e-06
R_EX_hg2_e	1.1795349471970396e-05	1.1795349471970396e-05	1.1795349471970396e-05	1.1795349471970396e-05	1.1795349471970396e-05	1.1795349471970396e-05	1.1795349471970396e-05	1.1795349471970396e-05
R_EX_his__L_e	7.374073233308104e-06	7.374073233308104e-06	7.374073233308104e-06	7.374073233308104e-06	7.374073233308104e-06	7.374073233308104e-06	7.374073233308104e-06	7.374073233308104e-06
R_EX_2ddglcn_e	4.421276238664641e-06	4.421276238664641e-06	4.421276238664641e-06	4.421276238664641e-06	4.421276238664641e-06	4.421276238664641e-06	4.421276238664641e-06	4.421276238664641e-06
R_EX_34dhpac_e	1.1284660782585996e-05	1.1284660782585996e-05	1.1284660782585996e-05	1.1284660782585996e-05	1.1284660782585996e-05	1.1284660782585996e-05	1.1284660782585996e-05	1.1284660782585996e-05
R_EX_3amp_e	2.5158286420620134e-05	2.5158286420620134e-05	2.5158286420620134e-05	2.5158286420620134e-05	2.5158286420620134e-05	2.5158286420620134e-05	2.5158286420620134e-05	2.5158286420620134e-05
R_EX_3cmp_e	7.364836984795628e-05	7.364836984795628e-05	7.364836984795628e-05	7.364836984795628e-05	7.364836984795628e-05	7.364836984795628e-05	7.364836984795628e-05	7.364836984795628e-05
R_EX_3gmp_e	8.752199549020121e-05	8.752199549020121e-05	8.752199549020121e-05	8.752199549020121e-05	8.752199549020121e-05	8.752199549020121e-05	8.752199549020121e-05	8.752199549020121e-05
R_EX_3hcinnm_e	2.415769585515205e-05	2.415769585515205e-05	2.415769585515205e-05	2.415769585515205e-05	2.415769585515205e-05	2.415769585515205e-05	2.415769585515205e-05	2.415769585515205e-05
R_EX_3hpp_e	4.8315391710304025e-05	4.8315391710304025e-05	4.8315391710304025e-05	4.8315391710304025e-05	4.8315391710304025e-05	4.8315391710304025e-05	4.8315391710304025e-05	4.8315391710304025e-05
R_EX_3hpppn_e	2.415769585515211e-05	2.415769585515211e-05	2.415769585515211e-05	2.415769585515211e-05	2.415769585515211e-05	2.415769585515211e-05	2.415769585515211e-05	2.415769585515211e-05
R_EX_hom__L_e	3.1195772989956667e-06	3.1195772989956667e-06	3.1195772989956667e-06	3.1195772989956667e-06	3.1195772989956667e-06	3.1195772989956667e-06	3.1195772989956667e-06	3.1195772989956667e-06
R_EX_hxa_e	3.119577298992783e-06	3.119577298992783e-06	3.119577298992783e-06	3.119577298992783e-06	3.119577298992783e-06	3.119577298992783e-06	3.119577298992783e-06	3.119577298992783e-06
R_EX_hxan_e	4.649903051768581e-06	4.649903051768581e-06	4.649903051768581e-06	4.649903051768581e-06	4.649903051768581e-06	4.649903051768581e-06	4.649903051768581e-06	4.649903051768581e-06
R_EX_idon__L_e	4.649903051806351e-06	4.649903051806351e-06	4.649903051806351e-06	4.649903051806351e-06	4.649903051806351e-06	4.649903051806351e-06	4.649903051806351e-06	4.649903051806351e-06
R_EX_3ump_e	3.089150539999804e-06	3.089150539999804e-06	3.089150539999804e-06	3.089150539999804e-06	3.089150539999804e-06	3.089150539999804e-06	3.089150539999804e-06	3.089150539999804e-06
