Reaction	Glucose - Chemostat	Glucose
R_SS0001	-0.0083612511337592	-0.0180199774593352
R_SS0002	0.0044614094966118	0.0075512728322314
R_SS0003	-1.0977060563993613e-06	-6.377137997870194e-07
R_SS0004	0.0015232276179428	0.007018784621843
R_SS0005	9.26739583094742e-07	1.040824548370567e-06
R_SS0006	9.26739583097237e-07	1.040824548364378e-06
R_SS0007	-5.09462665193583e-07	-7.902955353467078e-07
R_SS0008	1.2321953740025396e-05	1.027278792907576e-06
R_SS0009	9.349056070359378e-07	2.636466571758592e-07
R_SS0010	0.0015235886195847	0.0070204606231159
R_SS0011	-0.0015232276179428	-0.007018784621843
R_SS0012	0.0015235886195847	0.0070204606231159
R_SS0013	0.0015232276179428	0.007018784621843
R_SS0014	0.0015115558769388	0.0071454026519417
R_SS0015	0.0	0.0
R_SS0016	-1.785241440857848e-18	1.9038120310607727e-19
R_SS0017	0.0015115558769388	0.0071454026519417
R_SS0018	0.0	0.0
R_SS0019	0.0015115558769388	0.0071454026519417
R_SS0020	-4.830098608397812e-08	-4.2318784870446626e-08
R_SS0021	8.355931524035091e-08	9.471344453444595e-08
R_SS0022	-3.635877112752317e-08	-3.908536296698406e-08
R_SS0023	-3.6358771111910666e-08	-3.908536297392296e-08
R_SS0024	1.1387048132987143e-05	7.636321357274843e-07
R_SS0025	-3.6358771129303614e-08	-3.90853629697384e-08
R_SS0026	0.0	0.0
R_SS0027	0.0015112666658447	0.007019433344323
R_SS0028	0.0015115558769388	0.0071454026519417
R_SS0029	0.0	0.0
R_SS0030	0.0	0.0
R_SS0031	-4.830098608571551e-08	-4.231878487730417e-08
R_SS0032	0.0	0.0
R_SS0033	-1.3383326936317644e-18	-2.1552700576261405e-18
R_SS0034	0.0	0.0
R_SS0035	2.806318756474106e-06	5.213400227749489e-06
R_SS0036	0.0	0.0
R_SS0037	-2.530200266912984e-08	-1.6764213010388636e-08
R_SS0038	2.8063187564853863e-06	5.213400227789126e-06
R_SS0039	1.621216819369846e-05	3.775356139213503e-05
R_SS0040	0.0	0.0
R_SS0041	0.0	0.0
R_SS0042	1.3327596001038996e-05	3.2375569644600466e-05
R_SS0043	0.0098370932480979	0.0214464822711629
R_SS0044	-0.0098370932480979	-0.0214464822711629
R_SS0045	0.0	0.0
R_SS0046	4.258998184771623e-07	5.234579431958586e-07
R_SS0047	7.995915384464557e-06	0.0004638939927855
R_SS0048	7.995915384473307e-06	0.0004638939927855
R_SS0049	4.258998184771432e-07	5.234579431941828e-07
R_SS0050	4.2590002123785764e-07	5.234581769075873e-07
R_SS0051	4.2590002123730347e-07	5.234581769040722e-07
R_SS0052	0.0157787906419273	0.0178105696904104
R_SS0053	-0.0157779071869314	-0.0178088428026652
R_SS0054	5.047878529358256e-05	0.0090623752716732
R_SS0055	5.0478785293584805e-05	0.0090623752716732
R_SS0056	5.020451423681487e-05	0.0090622925057671
R_SS0057	1.6864569663141427e-05	3.830753010471144e-05
R_SS0058	-2.9108848877690274e-06	-0.0018508501482116
R_SS0059	0.004459913442408	0.0074795219296512
R_SS0060	4.560879397090176e-17	1.5324546556372447e-16
R_SS0061	0.0011295585610565	0.0065384880504691
R_SS0062	0.0011295585610565	0.0065384880504691
R_SS0063	1.6923200526495396e-05	0.0108390092403253
R_SS0064	2.7462071630216314e-06	0.0018506589902067
R_SS0065	2.7462071630226114e-06	0.0018506589902067
R_SS0066	2.746207163024233e-06	0.0018506589902067
R_SS0067	0.0011283976925711	0.0065375900079027
R_SS0068	1.1608684853962328e-06	8.980425663955605e-07
R_SS0069	7.82308706125637e-07	5.073989025441626e-06
R_SS0070	0.0008247201796104	0.000407440522114
R_SS0071	0.0008156984157081	0.0003733400840107
R_SS0072	7.823087061247071e-07	5.0739890254422456e-06
R_SS0073	1.4543593106231852e-06	1.2108416036795169e-06
R_SS0074	6.553801224263956e-06	3.820760601908732e-06
R_SS0075	1.2337503535425205e-07	1.0015951065124745e-07
R_SS0076	3.94564737377254e-06	1.1233301103063806e-06
R_SS0077	2.136196642666804e-07	2.0940018586726202e-07
R_SS0078	2.1361966426682925e-07	2.094001858657889e-07
R_SS0079	2.136196642688425e-07	2.0940018586935482e-07
R_SS0080	2.1361966426900253e-07	2.0940018587033257e-07
R_SS0081	2.136196642698273e-07	2.0940018587230586e-07
R_SS0082	2.1361966426779225e-07	2.0940018586762209e-07
R_SS0083	2.1361966426982041e-07	2.0940018586666626e-07
R_SS0084	2.1361966426934158e-07	2.094001858689676e-07
R_SS0085	1.7554079104681597e-07	1.326710090356676e-07
R_SS0086	3.338884785804523e-07	3.624604672513674e-07
R_SS0087	5.094292696277564e-07	4.951314762947912e-07
R_SS0088	5.094292696260216e-07	4.951314762982606e-07
R_SS0089	5.094292696294911e-07	4.951314762774439e-07
R_SS0090	5.0942926963643e-07	4.951314762913217e-07
R_SS0091	5.094292696312258e-07	4.951314762878523e-07
