Reaction	Acetate	Fructose	Galactose	Gluconate	Glucose	Glycerol	Pyruvate	Succinate
R_EX_cm_e	0.009279262822898	0.009279262822898	0.009279262822898	0.009279262822898	0.009279262822898	0.009279262822898	0.009279262822898	0.009279262822898
R_EX_cmp_e	4.2162307473410897e-07	4.2162307473410897e-07	4.2162307473410897e-07	4.2162307473410897e-07	4.2162307473410897e-07	4.2162307473410897e-07	4.2162307473410897e-07	4.2162307473410897e-07
R_EX_co2_e	0.0050413333755168	0.0050413333755168	0.0050413333755168	0.0050413333755168	0.0050413333755168	0.0050413333755168	0.0050413333755168	0.0050413333755168
R_EX_cobalt2_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_DM_4crsol_c	1.1907976551111282e-05	1.1907976551111282e-05	1.1907976551111282e-05	1.1907976551111282e-05	1.1907976551111282e-05	1.1907976551111282e-05	1.1907976551111282e-05	1.1907976551111282e-05
R_DM_5drib_c	7.254595806126671e-06	7.254595806126671e-06	7.254595806126671e-06	7.254595806126671e-06	7.254595806126671e-06	7.254595806126671e-06	7.254595806126671e-06	7.254595806126671e-06
R_DM_aacald_c	0.0041566008775771	0.0041566008775771	0.0041566008775771	0.0041566008775771	0.0041566008775771	0.0041566008775771	0.0041566008775771	0.0041566008775771
R_DM_amob_c	0.0092052567220147	0.0092052567220147	0.0092052567220147	0.0092052567220147	0.0092052567220147	0.0092052567220147	0.0092052567220147	0.0092052567220147
R_DM_mththf_c	5.997185216731154e-07	5.997185216731154e-07	5.997185216731154e-07	5.997185216731154e-07	5.997185216731154e-07	5.997185216731154e-07	5.997185216731154e-07	5.997185216731154e-07
R_EX_colipa_e	4.440612812126231e-06	4.440612812126231e-06	4.440612812126231e-06	4.440612812126231e-06	4.440612812126231e-06	4.440612812126231e-06	4.440612812126231e-06	4.440612812126231e-06
R_DM_oxam_c	9.495961686715931e-06	9.495961686715931e-06	9.495961686715931e-06	9.495961686715931e-06	9.495961686715931e-06	9.495961686715931e-06	9.495961686715931e-06	9.495961686715931e-06
R_EX_glc__D_e	5.0553488746020335e-06	5.0553488746020335e-06	5.0553488746020335e-06	5.0553488746020335e-06	5.0553488746020335e-06	5.0553488746020335e-06	5.0553488746020335e-06	5.0553488746020335e-06
R_EX_glcn_e	4.370824213143756e-06	4.370824213143756e-06	4.370824213143756e-06	4.370824213143756e-06	4.370824213143756e-06	4.370824213143756e-06	4.370824213143756e-06	4.370824213143756e-06
R_BIOMASS_Ec_iJO1366_WT_53p95M	9.441633827949064e-06	9.441633827949064e-06	9.441633827949064e-06	9.441633827949064e-06	9.441633827949064e-06	9.441633827949064e-06	9.441633827949064e-06	9.441633827949064e-06
R_EX_glcr_e	5.070809614673132e-06	5.070809614673132e-06	5.070809614673132e-06	5.070809614673132e-06	5.070809614673132e-06	5.070809614673132e-06	5.070809614673132e-06	5.070809614673132e-06
R_EX_colipap_e	4.363536776687479e-06	4.363536776687479e-06	4.363536776687479e-06	4.363536776687479e-06	4.363536776687479e-06	4.363536776687479e-06	4.363536776687479e-06	4.363536776687479e-06
R_EX_glcur_e	9.43591243163922e-06	9.43591243163922e-06	9.43591243163922e-06	9.43591243163922e-06	9.43591243163922e-06	9.43591243163922e-06	9.43591243163922e-06	9.43591243163922e-06
R_EX_glcur1p_e	5.072375654896063e-06	5.072375654896063e-06	5.072375654896063e-06	5.072375654896063e-06	5.072375654896063e-06	5.072375654896063e-06	5.072375654896063e-06	5.072375654896063e-06
R_BIOMASS_Ec_iJO1366_core_53p95M	4.607211874331049e-06	4.607211874331049e-06	4.607211874331049e-06	4.607211874331049e-06	4.607211874331049e-06	4.607211874331049e-06	4.607211874331049e-06	4.607211874331049e-06
R_EX_12ppd__R_e	9.626806654561695e-06	9.626806654561695e-06	9.626806654561695e-06	9.626806654561695e-06	9.626806654561695e-06	9.626806654561695e-06	9.626806654561695e-06	9.626806654561695e-06
R_EX_gln__L_e	5.019594780173236e-06	5.019594780173236e-06	5.019594780173236e-06	5.019594780173236e-06	5.019594780173236e-06	5.019594780173236e-06	5.019594780173236e-06	5.019594780173236e-06
R_EX_cpgn_e	4.6730672176909216e-06	4.6730672176909216e-06	4.6730672176909216e-06	4.6730672176909216e-06	4.6730672176909216e-06	4.6730672176909216e-06	4.6730672176909216e-06	4.6730672176909216e-06
R_EX_glu__L_e	9.67867996787236e-06	9.67867996787236e-06	9.67867996787236e-06	9.67867996787236e-06	9.67867996787236e-06	9.67867996787236e-06	9.67867996787236e-06	9.67867996787236e-06
R_EX_gly_e	5.005612750160818e-06	5.005612750160818e-06	5.005612750160818e-06	5.005612750160818e-06	5.005612750160818e-06	5.005612750160818e-06	5.005612750160818e-06	5.005612750160818e-06
R_EX_glyald_e	4.304396028202432e-06	4.304396028202432e-06	4.304396028202432e-06	4.304396028202432e-06	4.304396028202432e-06	4.304396028202432e-06	4.304396028202432e-06	4.304396028202432e-06
R_EX_glyb_e	9.39000139153291e-06	9.39000139153291e-06	9.39000139153291e-06	9.39000139153291e-06	9.39000139153291e-06	9.39000139153291e-06	9.39000139153291e-06	9.39000139153291e-06
R_EX_glyc_e	5.08560536330586e-06	5.08560536330586e-06	5.08560536330586e-06	5.08560536330586e-06	5.08560536330586e-06	5.08560536330586e-06	5.08560536330586e-06	5.08560536330586e-06
R_EX_12ppd__S_e	4.3509749836336526e-06	4.3509749836336526e-06	4.3509749836336526e-06	4.3509749836336526e-06	4.3509749836336526e-06	4.3509749836336526e-06	4.3509749836336526e-06	4.3509749836336526e-06
R_EX_14glucan_e	9.426073533731956e-06	9.426073533731956e-06	9.426073533731956e-06	9.426073533731956e-06	9.426073533731956e-06	9.426073533731956e-06	9.426073533731956e-06	9.426073533731956e-06
R_EX_cpgn_un_e	5.075098550092482e-06	5.075098550092482e-06	5.075098550092482e-06	5.075098550092482e-06	5.075098550092482e-06	5.075098550092482e-06	5.075098550092482e-06	5.075098550092482e-06
R_EX_15dap_e	-1.663276864169428e-05	-1.663276864169428e-05	-1.663276864169428e-05	-1.663276864169428e-05	-1.663276864169428e-05	-1.663276864169428e-05	-1.663276864169428e-05	-1.663276864169428e-05
R_EX_glyc__R_e	9.568506156070254e-06	9.568506156070254e-06	9.568506156070254e-06	9.568506156070254e-06	9.568506156070254e-06	9.568506156070254e-06	9.568506156070254e-06	9.568506156070254e-06
R_EX_glyc2p_e	7.064262489355107e-06	7.064262489355107e-06	7.064262489355107e-06	7.064262489355107e-06	7.064262489355107e-06	7.064262489355107e-06	7.064262489355107e-06	7.064262489355107e-06
R_EX_23camp_e	-4.783929566551078e-06	-4.783929566551078e-06	-4.783929566551078e-06	-4.783929566551078e-06	-4.783929566551078e-06	-4.783929566551078e-06	-4.783929566551078e-06	-4.783929566551078e-06
R_EX_23ccmp_e	4.783929568873005e-06	4.783929568873005e-06	4.783929568873005e-06	4.783929568873005e-06	4.783929568873005e-06	4.783929568873005e-06	4.783929568873005e-06	4.783929568873005e-06
R_EX_23cgmp_e	0.1411462059946489	0.1411462059946489	0.1411462059946489	0.1411462059946489	0.1411462059946489	0.1411462059946489	0.1411462059946489	0.1411462059946489
R_EX_23cump_e	-0.1411462059946487	-0.1411462059946487	-0.1411462059946487	-0.1411462059946487	-0.1411462059946487	-0.1411462059946487	-0.1411462059946487	-0.1411462059946487
R_EX_23dappa_e	2.9640021516134376e-10	2.9640021516134376e-10	2.9640021516134376e-10	2.9640021516134376e-10	2.9640021516134376e-10	2.9640021516134376e-10	2.9640021516134376e-10	2.9640021516134376e-10
R_EX_26dap__M_e	2.9641219869918507e-10	2.9641219869918507e-10	2.9641219869918507e-10	2.9641219869918507e-10	2.9641219869918507e-10	2.9641219869918507e-10	2.9641219869918507e-10	2.9641219869918507e-10
R_EX_glyc3p_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_glyclt_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
