Reaction	Fructose	Gluconate	Glucose	Glycerol	Malate + Glucose	Malate	Pyruvate	Succinate + Glutamate
R_ADNt2	-2.6562807474428407e-09	-3.3964800728869533e-09	1.7772741264798775e-10	1.0663202706234776e-08	-2.453360722909359e-09	2.2628416154746311e-10	-2.586285557243384e-09	-9.344776195907569e-09
R_ADPDA	2.986784695124811e-07	1.2245579167832754e-06	8.198850385138234e-07	6.001750157136332e-07	8.458118978711682e-07	1.024252559784361e-06	3.503408486892068e-07	6.848971680906146e-07
R_ADPRDP	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_ANS	-4.0917509104593724e-10	-2.4015410792671364e-09	-1.7773769874406312e-09	-1.5974706648923452e-09	-1.4578677459549544e-09	-2.7375813911152435e-09	-9.024146070795601e-10	-8.544605212587345e-10
R_ANTIMt1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_mobd_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_AOXSr	4.200912359743338e-17	-7.209447274803152e-18	2.239038597460239e-18	-4.08163932763491e-18	-3.826306984947613e-18	8.611392438802806e-18	-3.809914084208008e-18	1.5387373860308437e-18
R_ARBabc	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_ARBt2r	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_ARGDC	2.2132988895612267e-07	9.575148486513978e-07	6.312462130492062e-07	4.811783215828116e-07	5.42663817604298e-07	7.022485197243113e-07	2.411525536763385e-07	3.862259736735854e-07
R_ADPT	5.054528265130082e-07	2.952473526890321e-06	2.809929981157763e-06	1.287721238084905e-06	1.9312227798686585e-06	1.5161616232319945e-06	4.53493634138662e-07	4.271258675004542e-07
R_ADSK	0.0	0.0	-6.938893903907228e-18	-2.775557561562892e-17	6.938893903907228e-18	0.0	1.3877787807814457e-17	1.3877787807814457e-17
R_ADSL2r	9.71142767709765e-07	4.275062638191274e-06	3.380703169006405e-06	2.250476502815152e-06	1.8922935733287072e-06	3.2688301803557307e-06	1.3753794546808584e-06	3.4798012976400283e-06
R_ADSL1r	9.646360596658745e-07	5.0339406975907774e-06	4.191731198407989e-06	2.1761980343246168e-06	3.143107999661887e-06	2.752916392546878e-06	8.303542534462971e-07	6.453052668851933e-07
R_ADSS	9.646360596748615e-07	5.033940697592943e-06	4.191731198415104e-06	2.1761980343194965e-06	3.1431079996648505e-06	2.752916392557273e-06	8.303542534469657e-07	6.453052668734489e-07
R_AGDC	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
