Reaction	Acetate	Fructose	Galactose	Glucose	Glycerol	Gluconate	Pyruvate	Succinate
R_EX_cm_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_cmp_e	-0.0187363865601475	-0.0190635750197886	-0.015850300128341	-0.0151454293455611	-0.0119545231564974	-0.017307100871123	-0.0192660596555396	-0.0173356957278627
R_EX_co2_e	0.9249647446764108	0.931609425339206	0.8288959595378699	0.930074989154868	0.9112596003435002	0.898759631308897	0.9588005286278856	0.9425896867752772
R_EX_cobalt2_e	4.893030425279221e-13	4.893307981035377e-13	4.893307981035377e-13	4.893169203157299e-13	4.89247531376691e-13	4.89386309254769e-13	4.892891647401143e-13	4.894418204060004e-13
R_DM_4crsol_c	9.869693993891189e-09	9.868658229446592e-09	9.868679751652537e-09	9.867954346721536e-09	9.877877490974366e-09	9.868491977259926e-09	9.870271482240506e-09	9.86978144025822e-09
R_DM_5drib_c	0.0009559505952694	0.0008991942244537	0.0008263092746415	0.0009603325826118	0.0009832874419631	0.0009534215755379	0.0010950337041512	0.0008730054912419
R_DM_aacald_c	5.553462467349059e-05	5.806659068985645e-05	5.9065232481905307e-05	6.886579304854129e-05	6.65082033727432e-05	5.602716342487107e-05	6.871562566618783e-05	5.272294515796988e-05
R_DM_amob_c	9.989109115398926e-09	9.989155015135652e-09	9.98895164471316e-09	9.989177727582134e-09	9.989202877257348e-09	9.989180781033452e-09	9.989051072270971e-09	9.989163391481198e-09
R_DM_mththf_c	0.0486944489387921	0.0507435590684673	0.0369481248001573	0.0451411037981473	0.0451689300198887	0.0440979056394853	0.0516588278204665	0.0436330399447035
R_EX_colipa_e	-0.0072760861872814	-0.0062439050392619	-0.0071938236156141	-0.0049599681440855	-0.0067540127347201	-0.0055706835953539	-0.0070647462485451	-0.0045927283541315
R_DM_oxam_c	0.0108631337319532	0.0106959000749867	0.0112939445867541	0.0115053017618682	0.0130586744146674	0.0108562605359855	0.0110670780101456	0.0120366856166963
R_EX_glc__D_e	0.0833570412820697	0.0413236018481336	0.0767454963576527	0.0341702727440403	0.0717032289919085	0.048370940866499	0.052189733778931	0.0474627282294549
R_EX_glcn_e	-0.0476967319519968	-0.0616414463452155	-0.0444208400902487	-0.0330905334721667	-0.0445253451912438	-0.1332133139175856	-0.0483767889570397	-0.0470397983547686
R_BIOMASS_Ec_iJO1366_WT_53p95M	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_glcr_e	-0.0022099331993664	-0.0016028319604604	-0.0018721524893033	-0.0016856770773021	-0.002076853497041	-0.0016261922135511	-0.0014136667257993	-0.0022683888507951
R_EX_colipap_e	0.0007531385541372	0.001044404696641	0.0001204926044488	0.0003225035639602	0.0004943670264868	0.0001985455349001	0.0003382009013852	0.0003909806329423
R_EX_glcur_e	0.0088105145713837	0.0125220575140879	-0.0030041651339146	0.0140452482556076	0.0024543235778515	0.0113399155628067	0.0087592178361562	0.0107974102533433
R_EX_glcur1p_e	-0.0131232879953077	-0.0161940140722734	-0.0127658725602246	-0.022381613008956	-0.010391868550699	-0.0166002795088037	-0.0139193488273004	-0.0152661359355911
R_BIOMASS_Ec_iJO1366_core_53p95M	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_12ppd__R_e	0.0326470065056118	0.0262171167808789	0.039285577948839	0.0173300772845831	0.0352082071184578	0.0211867472366849	0.0295508250881703	0.0221705954334014
R_EX_gln__L_e	-0.0137196179883451	-0.0126742970571982	-0.0106201008049167	-0.0172655241840006	-0.019514816705462	-0.0144161435367531	-0.016626297848952	-0.0212596692097994
R_EX_cpgn_e	0.0404813788073973	0.0389291559250226	0.0378644896283918	0.0415028113596548	0.0446383089604429	0.0400706044553021	0.0410382391152399	0.0412474389078363
R_EX_glu__L_e	0.0223198883539856	0.0101058225246203	0.0074342402231974	0.0033537698894477	0.0174442897495146	0.0091101675173343	0.0223239138554979	0.0118407221629957
R_EX_gly_e	0.18514084509255	0.2057842839902821	0.1462955760055112	0.2151359656997154	0.2049707474170841	0.2052274758906145	0.1955005417485847	0.2122779210639286
R_EX_glyald_e	-0.0083474098375595	-0.0045879591915567	-0.0155780847709141	0.0025162587010136	-0.0257405031710673	-0.0013712480084594	-0.00396233556737	-0.0036353110169842
R_EX_glyb_e	1.9866414943670033e-08	1.986598610614898e-08	1.9857827784908192e-08	1.986330613878984e-08	1.9855107363797583e-08	1.9864507261324604e-08	1.9863095584993218e-08	1.986300891820836e-08
R_EX_glyc_e	0.0209810903319458	0.0304152580673909	0.0059601128355115	0.0366292241838583	0.0318895952951421	0.0204901860957104	0.0166792262994523	0.0166147671588828
R_EX_12ppd__S_e	-0.0491781014098601	-0.0308797447218044	-0.044382356788148	-0.0095148296514566	-0.038126232220686	-0.0138454322163017	-0.061436811033072	-0.0566869622347411
R_EX_14glucan_e	-0.0170639198737532	-0.0182518783069744	-0.0161376026630693	-0.0200493207709536	-0.0155800608117054	-0.0198253998462501	-0.0181729521471242	-0.0158723918929845
R_EX_cpgn_un_e	-0.0404813788073973	-0.0389291559250226	-0.0378644896283918	-0.0415028113596548	-0.0446383089604429	-0.0400706044553021	-0.0410382391152399	-0.0412474389078363
R_EX_15dap_e	0.0024298901529202	0.0015743784948851	0.0024726132779937	0.0018800482177339	0.0022550465905228	0.0020044263399034	0.0015737491938873	0.0017233535574863
R_EX_glyc__R_e	0.0067659205343747	0.0048427405148599	0.0066000800732677	0.0042557056027823	0.0054109787592346	0.0040740129109771	0.0046863047337252	0.0070955750402156
