Reaction	Glycerol + Glucose
R_xAMINOACID	0.7181916412607218
R_xBIOMASS	0.7181916412607218
R_xLIPID	0.0007181916412607218
R_xMAINTENANCE	0.0
R_xPOOL_AC_EM	0.04359028525481354
R_xPOOL_AC_LP	0.037602374824285016
R_xPOOL_AC_MM	0.0
R_xPOOL_FA_EM	0.0
R_xPOOL_FA_EN	0.0
R_xPOOL_FA_LP	0.002380378604893581
R_xPOOL_FA_MI	0.0
R_xPOOL_FA_MM	0.0
R_y000001	0.0
R_y000002	0.0
R_y000004	0.0
R_y000005	0.3170816096166087
R_y000006	0.0
R_y000007	0.10629236290658682
R_y000008	0.019107633702804352
R_y000009	0.015007187448721192
R_y000010	0.0
R_y000012	0.0
R_y000013	0.0
R_y000014	0.0
R_y000015	0.0
R_y000016	0.15082024466475158
R_y000017	0.0
R_y000018	0.2398760081810811
R_y000019	0.0
R_y000020	0.30451325589454603
R_y000021	0.0
R_y000022	0.0
R_y000023	-0.30235868097076385
R_y000024	0.0
R_y000025	0.30235868097076385
R_y000027	0.2398760081810811
R_y000028	0.0
R_y000029	0.30235868097076385
R_y000030	0.0
R_y000032	0.14004737004584075
R_y000033	0.0
R_y000034	0.0
R_y000035	0.0
R_y000036	0.0
R_y000037	0.0
R_y000038	0.0
R_y000039	0.30451325589454603
R_y000040	0.30451325589454603
R_y000041	0.0
R_y000042	0.0
R_y000045	0.0
R_y000057	0.0002507191160519764
R_y000058	0.0
R_y000060	-0.30235868097076385
R_y000061	0.30235868097076385
R_y000062	0.0
R_y000063	0.0
R_y000064	0.0
R_y000065	0.30451325589454603
R_y000066	0.0
R_y000067	0.0
R_y000068	0.0
R_y000069	0.0
R_y000072	0.0
R_y000073	0.0
R_y000074	0.0
R_y000075	0.0
R_y000076	0.0
R_y000077	0.0
R_y000078	0.0
R_y000079	0.17574149457461646
R_y000080	0.1524728036312925
R_y000081	0.0
R_y000082	0.0
R_y000083	0.0
R_y000084	0.0
R_y000085	0.0
R_y000086	0.0
R_y000087	0.0
R_y000088	0.0
R_y000089	0.0
R_y000090	0.0
R_y000091	0.0
R_y000092	0.0
R_y000093	0.0
R_y000095	0.0
R_y000096	0.5120706402188946
R_y000097	0.5120706402188946
R_y000099	0.0
R_y000100	0.0
R_y000101	0.0
R_y000102	0.00041786519341996067
R_y000103	0.0
R_y000104	0.09299576286028582
R_y000105	0.0002507191160519764
R_y000106	0.0
R_y000107	0.0
R_y000108	0.0
R_y000109	0.6217820575175763
R_y000111	0.0
R_y000112	0.0
R_y000113	0.0
R_y000114	0.0
R_y000115	0.16446588584870528
R_y000116	0.0
R_y000117	0.0
R_y000118	0.16446588584870528
R_y000120	0.0
R_y000121	0.0
R_y000122	0.0
R_y000123	0.00041786519341996067
R_y000124	0.0
R_y000125	0.0002507191160519764
R_y000127	0.00021904845058452014
R_y000132	7.181916412607217e-05
R_y000137	0.0
R_y000139	0.0
R_y000142	0.04618044072470567
R_y000143	0.0
R_y000144	0.04618044072470567
R_y000145	0.0
R_y000146	0.0
R_y000147	0.0
R_y000148	1.2725989604598438
R_y000149	-4.0696796529083445e-13
R_y000150	0.0
R_y000151	0.17574149457461646
R_y000152	0.18816620996842695
R_y000153	0.18816620996842695
R_y000154	0.14004737004584075
R_y000155	0.0
R_y000156	0.0
R_y000157	0.0
R_y000163	0.0
R_y000164	0.0
R_y000165	0.0
R_y000166	0.0
R_y000167	0.0
R_y000168	0.0
R_y000169	0.0
R_y000170	0.0
R_y000172	0.0
R_y000173	0.0
R_y000174	0.0
R_y000175	0.0
R_y000176	0.0
R_y000177	0.0
R_y000178	0.0
R_y000179	0.0
R_y000180	0.0
R_y000182	0.0
R_y000183	0.0
R_y000185	0.0
R_y000186	0.0
R_y000187	0.0
R_y000188	0.0
R_y000189	0.0
R_y000190	0.0
R_y000191	0.0
R_y000192	0.0
R_y000193	0.0
R_y000194	0.0
R_y000195	0.00229821325203431
R_y000199	0.0
R_y000201	0.0
R_y000202	0.033755007139253924
R_y000203	0.033755007139253924
R_y000204	0.0
R_y000205	0.0
R_y000206	0.0
R_y000207	0.16446588584870528
R_y000208	0.16446588584870528
R_y000209	0.0
R_y000210	0.0
R_y000211	0.0
R_y000212	0.0
R_y000213	0.0
R_y000214	0.14083738085122754
R_y000215	0.46682456681946916
R_y000216	0.3072299531065506
