Condition	N° variables	Time	Status
Glucose	2072	20.274046659469604	Solve_Succeeded
Glucose	3209	17.160602807998657	Solved_To_Acceptable_Level
PrimaryTumor_StageIIIA	14321	189.70093727111816	Solve_Succeeded
